Command: python docs/scripts/test_runtime_context.py --audit --baseline-ref 2728dae78d55f6cb7daa39c82874ad5b43621f8a
Counter: Python re.findall(r"\S+", text); repeated and transitive reads are separate rows.
Baseline: Git commit 2728dae78d55f6cb7daa39c82874ad5b43621f8a

command	profile	checkpoint	source	heading	reason	observed_words	repeat_classification	authority
/tfw-plan	before	bootstrap	AGENTS.md	*	active root instructions	396	once	root
/tfw-plan	before	bootstrap	.tfw/conventions.md	*	legacy common preload	11269	repeated	shared rules
/tfw-plan	before	bootstrap	.tfw/glossary.md	*	legacy common preload	5199	repeated	term/history
/tfw-plan	before	bootstrap	KNOWLEDGE.md	*	legacy common preload	14052	repeated	project knowledge
/tfw-plan	before	bootstrap	.agents/skills/tfw-plan/SKILL.md	*	command dispatch	154	once	adapter
/tfw-plan	before	bootstrap	.tfw/workflows/plan.md	*	command algorithm	1847	once	workflow
/tfw-plan	after	bootstrap	AGENTS.md	*	active root instructions	360	once	root
/tfw-plan	after	bootstrap	.agents/skills/tfw-plan/SKILL.md	*	command dispatch	154	once	adapter
/tfw-plan	after	bootstrap	.tfw/workflows/plan.md	*	planning algorithm	2107	once	workflow
/tfw-plan	after	bootstrap	.tfw/conventions.md	Task control files	task-local truth	259	once	shared rule
/tfw-plan	after	bootstrap	.tfw/conventions.md	Artifact file naming	governing lineage	554	once	shared rule
/tfw-plan	after	bootstrap	.tfw/conventions.md	Research subfolder	research topology	295	once	shared rule
/tfw-plan	after	bootstrap	.tfw/conventions.md	Task Statuses	legal transition	828	once	shared rule
/tfw-plan	after	bootstrap	.tfw/conventions.md	Scope Budgets (per Phase)	scope gate	96	once	shared rule
/tfw-plan	after	bootstrap	.tfw/conventions.md	Role Lock Protocol	writer authority	605	once	shared rule
/tfw-plan	after	bootstrap	.tfw/glossary.md	Project Values (PV)	independent PV scan	243	once	routing index
/tfw-plan	after	bootstrap	.tfw/templates/HL.md	*	output form	1994	once	template
/tfw-plan	after	bootstrap	.tfw/templates/TS.md	*	output form	533	once	template
TOTAL	/tfw-plan	before=32917	after=8028	reduction=75.6%

/tfw-knowledge	before	bootstrap	AGENTS.md	*	active root instructions	396	once	root
/tfw-knowledge	before	bootstrap	.tfw/conventions.md	*	legacy common preload	11269	repeated	shared rules
/tfw-knowledge	before	bootstrap	.tfw/glossary.md	*	legacy common preload	5199	repeated	term/history
/tfw-knowledge	before	bootstrap	KNOWLEDGE.md	*	legacy common preload	14052	repeated	project knowledge
/tfw-knowledge	before	bootstrap	.agents/skills/tfw-knowledge/SKILL.md	*	command dispatch	162	once	adapter
/tfw-knowledge	before	bootstrap	.tfw/workflows/knowledge.md	*	command algorithm	701	once	workflow
/tfw-knowledge	after	bootstrap	AGENTS.md	*	active root instructions	360	once	root
/tfw-knowledge	after	bootstrap	.agents/skills/tfw-knowledge/SKILL.md	*	command dispatch	162	once	adapter
/tfw-knowledge	after	bootstrap	.tfw/workflows/knowledge.md	*	consolidation algorithm	1021	once	workflow
/tfw-knowledge	after	bootstrap	.tfw/conventions.md	Fact Categories	candidate routing	174	once	shared rule
/tfw-knowledge	after	bootstrap	.tfw/conventions.md	Knowledge Infrastructure	file ownership	77	once	shared rule
/tfw-knowledge	after	bootstrap	KNOWLEDGE.md	Project Facts	fact index	205	once	project knowledge
/tfw-knowledge	after	bootstrap	.tfw/templates/knowledge/topic.md	*	topic output form	53	once	template
TOTAL	/tfw-knowledge	before=31779	after=2052	reduction=93.5%

Observed Phase-A results: /tfw-plan 75.6% reduction; /tfw-knowledge 93.5% reduction.
Research comparisons only (not substituted observations): /tfw-plan 25,620 words; /tfw-knowledge 11,840 words.
Phase B/C role-path reductions remain projected and are not reported as observed here.

## Review round 1 — actual transitive graph replay

command	profile	checkpoint	source	heading	words	repeat	authority
/tfw-plan	before	root-bootstrap	AGENTS.md	*	396	once	root
/tfw-plan	before	root-context	AGENTS.md	*	396	repeated	root
/tfw-plan	before	root-context	.tfw/conventions.md	*	11269	once	root
/tfw-plan	before	root-context	.tfw/glossary.md	*	5199	once	root
/tfw-plan	before	root-context	KNOWLEDGE.md	*	14052	once	root
/tfw-plan	before	command-dispatch	.agents/skills/tfw-plan/SKILL.md	*	154	once	adapter
/tfw-plan	before	skill-contract	AGENTS.md	*	396	repeated	adapter
/tfw-plan	before	skill-contract	.tfw/conventions.md	*	11269	repeated	adapter
/tfw-plan	before	skill-contract	.tfw/glossary.md	*	5199	repeated	adapter
/tfw-plan	before	skill-contract	KNOWLEDGE.md	*	14052	repeated	adapter
/tfw-plan	before	canonical-dispatch	.tfw/workflows/plan.md	*	1847	once	workflow
/tfw-plan	after	root-bootstrap	AGENTS.md	*	363	once	root
/tfw-plan	after	command-dispatch	.agents/skills/tfw-plan/SKILL.md	*	154	once	adapter
/tfw-plan	after	skill-contract	AGENTS.md	*	363	repeated	adapter
/tfw-plan	after	skill-contract	.tfw/conventions.md	*	9161	once	adapter
/tfw-plan	after	skill-contract	.tfw/glossary.md	*	2355	once	adapter
/tfw-plan	after	skill-contract	KNOWLEDGE.md	*	14052	once	adapter
/tfw-plan	after	canonical-dispatch	.tfw/workflows/plan.md	*	2107	once	workflow
/tfw-plan	after	workflow-contract	.tfw/project_config.yaml	*	540	once	project-config
/tfw-plan	after	workflow-contract	.tfw/conventions.md	Task-control-files	259	repeated	shared-rule
/tfw-plan	after	workflow-contract	.tfw/conventions.md	Artifact-file-naming	554	repeated	shared-rule
/tfw-plan	after	workflow-contract	.tfw/conventions.md	Research-subfolder	295	repeated	shared-rule
/tfw-plan	after	workflow-contract	.tfw/conventions.md	Review-subfolder	43	repeated	shared-rule
/tfw-plan	after	workflow-contract	.tfw/conventions.md	Evidence-subfolder	54	repeated	shared-rule
/tfw-plan	after	workflow-contract	.tfw/conventions.md	Multi-phase-folder-structure	71	repeated	shared-rule
/tfw-plan	after	workflow-contract	.tfw/conventions.md	Task-Statuses	828	repeated	shared-rule
/tfw-plan	after	workflow-contract	.tfw/conventions.md	A-phase-carries-its-own-state	398	repeated	shared-rule
/tfw-plan	after	workflow-contract	.tfw/conventions.md	Scope-Budgets-per-Phase	96	repeated	shared-rule
/tfw-plan	after	workflow-contract	.tfw/conventions.md	Role-Lock-Protocol	605	repeated	shared-rule
/tfw-plan	after	workflow-contract	.tfw/glossary.md	Project-Values-PV	243	repeated	routing-index
/tfw-plan	after	workflow-contract	.tfw/templates/HL.md	*	1994	once	template
/tfw-plan	after	workflow-contract	.tfw/templates/TS.md	*	533	once	template
TOTAL	/tfw-plan	before=64229	after=35068	reduction=45.4%
/tfw-knowledge	before	root-bootstrap	AGENTS.md	*	396	once	root
/tfw-knowledge	before	root-context	AGENTS.md	*	396	repeated	root
/tfw-knowledge	before	root-context	.tfw/conventions.md	*	11269	once	root
/tfw-knowledge	before	root-context	.tfw/glossary.md	*	5199	once	root
/tfw-knowledge	before	root-context	KNOWLEDGE.md	*	14052	once	root
/tfw-knowledge	before	command-dispatch	.agents/skills/tfw-knowledge/SKILL.md	*	162	once	adapter
/tfw-knowledge	before	skill-contract	AGENTS.md	*	396	repeated	adapter
/tfw-knowledge	before	skill-contract	.tfw/conventions.md	*	11269	repeated	adapter
/tfw-knowledge	before	skill-contract	.tfw/glossary.md	*	5199	repeated	adapter
/tfw-knowledge	before	skill-contract	.tfw/project_config.yaml	*	540	once	adapter
/tfw-knowledge	before	skill-contract	.tfw/knowledge_state.yaml	*	95	once	adapter
/tfw-knowledge	before	skill-contract	KNOWLEDGE.md	*	14052	repeated	adapter
